CVEGEO,E03,NOM_ENT,NOM_ABR,E04,NOM_MUN
01001,01,Aguascalientes,Ags.,001,Aguascalientes
01002,01,Aguascalientes,Ags.,002,Asientos
01003,01,Aguascalientes,Ags.,003,Calvillo
01004,01,Aguascalientes,Ags.,004,Cosío
01005,01,Aguascalientes,Ags.,005,Jesús María
01006,01,Aguascalientes,Ags.,006,Pabellón de Arteaga
01007,01,Aguascalientes,Ags.,007,Rincón de Romos
01008,01,Aguascalientes,Ags.,008,San José de Gracia
01009,01,Aguascalientes,Ags.,009,Tepezalá
01010,01,Aguascalientes,Ags.,010,El Llano
01011,01,Aguascalientes,Ags.,011,San Francisco de los Romo
02001,02,Baja California,BC,001,Ensenada
02002,02,Baja California,BC,002,Mexicali
02003,02,Baja California,BC,003,Tecate
02004,02,Baja California,BC,004,Tijuana
02005,02,Baja California,BC,005,Playas de Rosarito
02006,02,Baja California,BC,006,San Quintín
02007,02,Baja California,BC,007,San Felipe
03001,03,Baja California Sur,BCS,001,Comondú
03002,03,Baja California Sur,BCS,002,Mulegé
03003,03,Baja California Sur,BCS,003,La Paz
03008,03,Baja California Sur,BCS,008,Los Cabos
03009,03,Baja California Sur,BCS,009,Loreto
04001,04,Campeche,Camp.,001,Calkiní
04002,04,Campeche,Camp.,002,Campeche
04003,04,Campeche,Camp.,003,Carmen
04004,04,Campeche,Camp.,004,Champotón
04005,04,Campeche,Camp.,005,Hecelchakán
04006,04,Campeche,Camp.,006,Hopelchén
04007,04,Campeche,Camp.,007,Palizada
04008,04,Campeche,Camp.,008,Tenabo
04009,04,Campeche,Camp.,009,Escárcega
04010,04,Campeche,Camp.,010,Calakmul
04011,04,Campeche,Camp.,011,Candelaria
04012,04,Campeche,Camp.,012,Seybaplaya
04013,04,Campeche,Camp.,013,Dzitbalché
05001,05,Coahuila de Zaragoza,Coah.,001,Abasolo
05002,05,Coahuila de Zaragoza,Coah.,002,Acuña
05003,05,Coahuila de Zaragoza,Coah.,003,Allende
05004,05,Coahuila de Zaragoza,Coah.,004,Arteaga
05005,05,Coahuila de Zaragoza,Coah.,005,Candela
05006,05,Coahuila de Zaragoza,Coah.,006,Castaños
05007,05,Coahuila de Zaragoza,Coah.,007,Cuatro Ciénegas
05008,05,Coahuila de Zaragoza,Coah.,008,Escobedo
05009,05,Coahuila de Zaragoza,Coah.,009,Francisco I. Madero
05010,05,Coahuila de Zaragoza,Coah.,010,Frontera
05011,05,Coahuila de Zaragoza,Coah.,011,General Cepeda
05012,05,Coahuila de Zaragoza,Coah.,012,Guerrero
05013,05,Coahuila de Zaragoza,Coah.,013,Hidalgo
05014,05,Coahuila de Zaragoza,Coah.,014,Jiménez
05015,05,Coahuila de Zaragoza,Coah.,015,Juárez
05016,05,Coahuila de Zaragoza,Coah.,016,Lamadrid
05017,05,Coahuila de Zaragoza,Coah.,017,Matamoros
05018,05,Coahuila de Zaragoza,Coah.,018,Monclova
05019,05,Coahuila de Zaragoza,Coah.,019,Morelos
05020,05,Coahuila de Zaragoza,Coah.,020,Múzquiz
05021,05,Coahuila de Zaragoza,Coah.,021,Nadadores
05022,05,Coahuila de Zaragoza,Coah.,022,Nava
05023,05,Coahuila de Zaragoza,Coah.,023,Ocampo
05024,05,Coahuila de Zaragoza,Coah.,024,Parras
05025,05,Coahuila de Zaragoza,Coah.,025,Piedras Negras
05026,05,Coahuila de Zaragoza,Coah.,026,Progreso
05027,05,Coahuila de Zaragoza,Coah.,027,Ramos Arizpe
05028,05,Coahuila de Zaragoza,Coah.,028,Sabinas
05029,05,Coahuila de Zaragoza,Coah.,029,Sacramento
05030,05,Coahuila de Zaragoza,Coah.,030,Saltillo
05031,05,Coahuila de Zaragoza,Coah.,031,San Buenaventura
05032,05,Coahuila de Zaragoza,Coah.,032,San Juan de Sabinas
05033,05,Coahuila de Zaragoza,Coah.,033,San Pedro
05034,05,Coahuila de Zaragoza,Coah.,034,Sierra Mojada
05035,05,Coahuila de Zaragoza,Coah.,035,Torreón
05036,05,Coahuila de Zaragoza,Coah.,036,Viesca
05037,05,Coahuila de Zaragoza,Coah.,037,Villa Unión
05038,05,Coahuila de Zaragoza,Coah.,038,Zaragoza
06001,06,Colima,Col.,001,Armería
06002,06,Colima,Col.,002,Colima
06003,06,Colima,Col.,003,Comala
06004,06,Colima,Col.,004,Coquimatlán
06005,06,Colima,Col.,005,Cuauhtémoc
06006,06,Colima,Col.,006,Ixtlahuacán
06007,06,Colima,Col.,007,Manzanillo
06008,06,Colima,Col.,008,Minatitlán
06009,06,Colima,Col.,009,Tecomán
06010,06,Colima,Col.,010,Villa de Álvarez
07001,07,Chiapas,Chis.,001,Acacoyagua
07002,07,Chiapas,Chis.,002,Acala
07003,07,Chiapas,Chis.,003,Acapetahua
07004,07,Chiapas,Chis.,004,Altamirano
07005,07,Chiapas,Chis.,005,Amatán
07006,07,Chiapas,Chis.,006,Amatenango de la Frontera
07007,07,Chiapas,Chis.,007,Amatenango del Valle
07008,07,Chiapas,Chis.,008,Ángel Albino Corzo
07009,07,Chiapas,Chis.,009,Arriaga
07010,07,Chiapas,Chis.,010,Bejucal de Ocampo
07011,07,Chiapas,Chis.,011,Bella Vista
07012,07,Chiapas,Chis.,012,Berriozábal
07013,07,Chiapas,Chis.,013,Bochil
07014,07,Chiapas,Chis.,014,El Bosque
07015,07,Chiapas,Chis.,015,Cacahoatán
07016,07,Chiapas,Chis.,016,Catazajá
07017,07,Chiapas,Chis.,017,Cintalapa de Figueroa
07018,07,Chiapas,Chis.,018,Coapilla
07019,07,Chiapas,Chis.,019,Comitán de Domínguez
07020,07,Chiapas,Chis.,020,La Concordia
07021,07,Chiapas,Chis.,021,Copainalá
07022,07,Chiapas,Chis.,022,Chalchihuitán
07023,07,Chiapas,Chis.,023,Chamula
07024,07,Chiapas,Chis.,024,Chanal
07025,07,Chiapas,Chis.,025,Chapultenango
07026,07,Chiapas,Chis.,026,Chenalhó
07027,07,Chiapas,Chis.,027,Chiapa de Corzo
07028,07,Chiapas,Chis.,028,Chiapilla
07029,07,Chiapas,Chis.,029,Chicoasén
07030,07,Chiapas,Chis.,030,Chicomuselo
07031,07,Chiapas,Chis.,031,Chilón
07032,07,Chiapas,Chis.,032,Escuintla
07033,07,Chiapas,Chis.,033,Francisco León
07034,07,Chiapas,Chis.,034,Frontera Comalapa
07035,07,Chiapas,Chis.,035,Frontera Hidalgo
07036,07,Chiapas,Chis.,036,La Grandeza
07037,07,Chiapas,Chis.,037,Huehuetán
07038,07,Chiapas,Chis.,038,Huixtán
07039,07,Chiapas,Chis.,039,Huitiupán
07040,07,Chiapas,Chis.,040,Huixtla
07041,07,Chiapas,Chis.,041,La Independencia
