SECTOR,NOMBRE_SECTOR,SUBSECTOR,NOMBRE_SUBSECTOR,ESTABLECIMIENTOS,PERSONAL_OCUPADO,TASA_EXPLOTACION,TASA_GANANCIA_NETA,HRS_PARA_SALARIO,HRS_PARA_INFRAESTRUCTURA,HRS_PLUSVALIA_NETA,COSTO_INFRAESTRUCTURA_MDP,PLUSVALIA_NETA_MDP
46,Comercio al por menor,461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",1141072,2276242,644.84%,121.94%,1.07,0.33,6.6,16621.57,333917.9
72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,722,Servicios de preparación de alimentos y bebidas,722635,2578079,230.02%,85.5%,2.42,0.27,5.3,14729.92,284112.51
81,Otros servicios excepto actividades gubernamentales,811,Servicios de reparación y mantenimiento,408713,921305,262.36%,58.98%,2.21,0.55,5.24,9653.24,92140.6
81,Otros servicios excepto actividades gubernamentales,812,Servicios personales,363093,626000,306.53%,60.04%,1.97,0.53,5.5,4874.56,50495.98
46,Comercio al por menor,465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",354184,720874,298.92%,94.31%,2.01,0.33,5.67,4900.32,85481.71
46,Comercio al por menor,463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",299941,668572,296.63%,77.28%,2.02,0.54,5.44,9217.7,92930.57
31-33,Industrias manufactureras,311,Industria alimentaria,223412,1214261,419.64%,104.96%,1.54,0.27,6.19,28435.13,642309.34
62,Servicios de salud y de asistencia social,621,Servicios médicos de consulta externa y servicios relacionados,213193,535504,238.7%,49.3%,2.36,0.68,4.96,9861.22,71652.56
46,Comercio al por menor,466,"Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados",196422,479062,286.39%,106.59%,2.07,0.31,5.62,4086.13,74627.77
46,Comercio al por menor,467,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",165545,496846,334.13%,81.39%,1.84,0.49,5.66,9435.29,108341.37
46,Comercio al por menor,464,Comercio al por menor de artículos para el cuidado de la salud,115786,442556,188.93%,100.24%,2.77,0.19,5.04,2939.38,77383.31
54,"Servicios profesionales, científicos y técnicos",541,"Servicios profesionales, científicos y técnicos",106064,680712,230.13%,109.05%,2.42,0.28,5.3,6636.16,127502.37
46,Comercio al por menor,468,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",105278,721158,471.24%,115.25%,1.4,0.31,6.28,20171.35,402526
43,Comercio al por mayor,434,"Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho",91875,584424,561.81%,51.03%,1.21,0.94,5.85,56829.32,352942
31-33,Industrias manufactureras,332,Fabricación de productos metálicos,76721,500045,211.85%,44.9%,2.57,0.53,4.91,15677.31,145191.03
61,Servicios educativos,611,Servicios educativos,53534,776869,76.59%,24.31%,4.53,0.43,3.04,10330.46,73440.81
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",561,Servicios de apoyo a los negocios,53383,758561,189.59%,65.12%,2.76,0.43,4.81,13551.56,152217.06
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,531,Servicios inmobiliarios,51443,208910,530.3%,47.66%,1.27,0.76,5.97,8434.05,66567.62
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",713,Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,49912,220420,227.03%,36.66%,2.45,0.66,4.89,5646.79,41693.78
46,Comercio al por menor,462,Comercio al por menor en tiendas de autoservicio y departamentales,47044,1015559,212.23%,76.32%,2.56,0.33,5.11,22142.81,341305.63
31-33,Industrias manufactureras,314,"Fabricación de productos textiles, excepto prendas de vestir",46963,108710,135.4%,49.19%,3.4,0.35,4.25,779.83,9343.05
31-33,Industrias manufactureras,315,Fabricación de prendas de vestir,44612,296915,107.9%,48.66%,3.85,0.28,3.88,2041.9,28761.94
31-33,Industrias manufactureras,321,Industria de la madera,37311,123826,174.53%,52.31%,2.91,0.47,4.62,1602.99,15732.11
31-33,Industrias manufactureras,327,Fabricación de productos a base de minerales no metálicos,35271,241779,272.49%,47.32%,2.15,0.57,5.28,11048.06,101591.18
31-33,Industrias manufactureras,312,Industria de las bebidas y del tabaco,33008,215757,682.04%,191.69%,1.02,0.19,6.79,6528.38,232643.81
31-33,Industrias manufactureras,337,"Fabricación de muebles, colchones y persianas",31524,193949,131.84%,45.91%,3.45,0.45,4.1,2970.65,27000.95
72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,721,Servicios de alojamiento temporal,27283,438724,198.02%,18.71%,2.68,1,4.32,17772.23,76781.05
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,532,Servicios de alquiler de bienes muebles,27044,123019,296.08%,41.18%,2.02,1.11,4.87,5827.88,25636.98
43,Comercio al por mayor,431,"Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco",25865,700364,544.66%,184.61%,1.24,0.24,6.52,19468.32,533550.85
43,Comercio al por mayor,435,"Comercio al por mayor de maquinaria, equipo y mobiliario para actividades agropecuarias, industriales, de servicios y comerciales, y de otra maquinaria y equipo de uso general",24922,290679,517.96%,81.66%,1.29,0.51,6.19,18949.02,229459.59
62,Servicios de salud y de asistencia social,624,Otros servicios de asistencia social,24822,133166,81.06%,30.68%,4.42,0.43,3.16,503.44,3729.11
81,Otros servicios excepto actividades gubernamentales,813,Asociaciones y organizaciones,23555,132711,146.17%,31.6%,3.25,0.67,4.08,1296.05,7828.16
31-33,Industrias manufactureras,339,Otras industrias manufactureras,20630,339454,108.45%,46.26%,3.84,0.29,3.88,4832.04,65456.76
11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza (Solo Pesca y Acuicultura)",114,"Pesca, caza y captura",20152,189091,247.79%,45.15%,2.3,1.1,4.6,3686.41,15381.28
31-33,Industrias manufactureras,323,Impresión e industrias conexas,20075,130048,174.67%,42.73%,2.91,0.55,4.54,3078.4,25296.13
52,Servicios financieros y de seguros,522,Instituciones de intermediación crediticia y financiera no bursátil,18259,484325,374.12%,180.95%,1.69,0.21,6.1,26456.95,776254.36
31-33,Industrias manufactureras,313,Fabricación de insumos textiles y acabado de textiles,17831,109528,191.04%,43.55%,2.75,0.48,4.77,2326.62,23087.15
31-33,Industrias manufactureras,316,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",13154,149609,126.87%,53.45%,3.53,0.31,4.17,1515.78,20450.89
31-33,Industrias manufactureras,322,Industria del papel,8259,170983,248.17%,52.56%,2.3,0.47,5.24,7530.91,84381.32
48-49,"Transportes, correos y almacenamiento",488,Servicios relacionados con el transporte,7977,297550,231.61%,58.18%,2.41,0.57,5.02,12330.51,108895.85
48-49,"Transportes, correos y almacenamiento",484,Autotransporte de carga,7595,447044,150.37%,12.01%,3.2,2.63,2.17,47526.16,39213.07
23,Construcción,236,Edificación,7170,347124,203.73%,72.07%,2.63,0.33,5.04,4756.97,73161.85
43,Comercio al por mayor,433,"Comercio al por mayor de productos farmacéuticos, de perfumería, artículos para el esparcimiento, electrodomésticos menores y aparatos de línea blanca",7115,115092,486.45%,169.12%,1.36,0.24,6.4,2806.78,76366.09
31-33,Industrias manufactureras,326,Industria del plástico y del hule,7065,458784,187.22%,47.49%,2.79,0.49,4.73,16750.6,162324.8
31-33,Industrias manufactureras,325,Industria química,6809,286099,434.42%,78.02%,1.5,0.41,6.1,19911.07,297447.06
