SECTOR,NOMBRE_SECTOR,SUBSECTOR,RAMA,NOMBRE_RAMA,ESTABLECIMIENTOS,PERSONAL_OCUPADO,TASA_EXPLOTACION,TASA_GANANCIA_NETA,HRS_PARA_SALARIO,HRS_PARA_INFRAESTRUCTURA,HRS_PLUSVALIA_NETA,COSTO_INFRAESTRUCTURA_MDP,PLUSVALIA_NETA_MDP
46,Comercio al por menor,461,4611,Comercio al por menor de abarrotes y alimentos,1063448,2132756,680.04%,122.24%,1.03,0.33,6.64,15519.64,311742.35
72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,722,7225,Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas,689683,2392489,235.43%,86.14%,2.39,0.28,5.34,13597.06,263197.79
81,Otros servicios excepto actividades gubernamentales,812,8121,"Salones y clínicas de belleza, baños públicos y bolerías",289752,441152,423.42%,78.12%,1.53,0.45,6.02,2445.7,32657.88
81,Otros servicios excepto actividades gubernamentales,811,8111,Reparación y mantenimiento de automóviles y camiones,252861,590433,263.22%,53.17%,2.2,0.59,5.21,6480.32,57407.34
46,Comercio al por menor,463,4632,"Comercio al por menor de ropa, bisutería y accesorios de vestir",231451,492181,328.16%,88.75%,1.87,0.46,5.67,5441.94,66524.88
31-33,Industrias manufactureras,311,3118,Elaboración de productos de panadería y tortillas,182448,562392,342.31%,105.08%,1.81,0.32,5.87,6561.89,119565.27
46,Comercio al por menor,467,4671,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",165545,496846,334.13%,81.39%,1.84,0.49,5.66,9435.29,108341.37
46,Comercio al por menor,465,4653,"Comercio al por menor de artículos de papelería, libros, revistas y periódicos",134416,246327,211.11%,60.24%,2.57,0.45,4.97,1328.27,14520.11
46,Comercio al por menor,465,4659,"Comercio al por menor de mascotas y sus accesorios, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal",130937,252507,316.6%,80.59%,1.92,0.39,5.69,1656.49,24086.62
46,Comercio al por menor,464,4641,Comercio al por menor de artículos para el cuidado de la salud,115786,442556,188.93%,100.24%,2.77,0.19,5.04,2939.38,77383.31
81,Otros servicios excepto actividades gubernamentales,811,8114,Reparación y mantenimiento de artículos para el hogar y personales,104369,166474,371.85%,72.06%,1.7,0.52,5.79,1018,11403.28
46,Comercio al por menor,461,4612,"Comercio al por menor de bebidas, hielo y tabaco",77624,143486,373.23%,117.83%,1.69,0.3,6.01,1101.93,22175.55
62,Servicios de salud y de asistencia social,621,6211,Consultorios médicos,74410,172310,317.92%,49.79%,1.91,0.75,5.33,3627.3,25717.5
62,Servicios de salud y de asistencia social,621,6212,Consultorios dentales,73416,143442,316.63%,43.2%,1.92,0.88,5.2,2502.79,14755.34
