SECTOR,NOMBRE_SECTOR,SUBSECTOR,NOMBRE_SUBSECTOR,ESTABLECIMIENTOS,PERSONAL_OCUPADO,PLUSVALIA_TOTAL_MDP,TASA_EXPLOTACION,TASA_GANANCIA,HORAS_PARA_EL_TRABAJADOR,HORAS_REGALADAS_AL_PATRON,DEPRECIACION_INFRAESTRUCTURA_MDP
46,Comercio al por menor,461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",1141072,2276242,350539.47,644.84%,128.01%,1.07,6.93,16621.57
72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,722,Servicios de preparación de alimentos y bebidas,722635,2578079,298842.43,230.02%,89.94%,2.42,5.58,14729.92
81,Otros servicios excepto actividades gubernamentales,811,Servicios de reparación y mantenimiento,408713,921305,101793.84,262.36%,65.16%,2.21,5.79,9653.24
81,Otros servicios excepto actividades gubernamentales,812,Servicios personales,363093,626000,55370.54,306.53%,65.84%,1.97,6.03,4874.56
46,Comercio al por menor,465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",354184,720874,90382.03,298.92%,99.72%,2.01,5.99,4900.32
46,Comercio al por menor,463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",299941,668572,102148.27,296.63%,84.94%,2.02,5.98,9217.7
31-33,Industrias manufactureras,311,Industria alimentaria,223412,1214261,670744.47,419.64%,109.61%,1.54,6.46,28435.13
62,Servicios de salud y de asistencia social,621,Servicios médicos de consulta externa y servicios relacionados,213193,535504,81513.79,238.7%,56.08%,2.36,5.64,9861.22
46,Comercio al por menor,466,"Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados",196422,479062,78713.9,286.39%,112.42%,2.07,5.93,4086.13
46,Comercio al por menor,467,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",165545,496846,117776.66,334.13%,88.48%,1.84,6.16,9435.29
46,Comercio al por menor,464,Comercio al por menor de artículos para el cuidado de la salud,115786,442556,80322.69,188.93%,104.05%,2.77,5.23,2939.38
54,"Servicios profesionales, científicos y técnicos",541,"Servicios profesionales, científicos y técnicos",106064,680712,134138.53,230.13%,114.72%,2.42,5.58,6636.16
46,Comercio al por menor,468,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",105278,721158,422697.34,471.24%,121.02%,1.4,6.6,20171.35
43,Comercio al por mayor,434,"Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho",91875,584424,409771.32,561.81%,59.25%,1.21,6.79,56829.32
31-33,Industrias manufactureras,332,Fabricación de productos metálicos,76721,500045,160868.34,211.85%,49.75%,2.57,5.43,15677.31
61,Servicios educativos,611,Servicios educativos,53534,776869,83771.27,76.59%,27.72%,4.53,3.47,10330.46
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",561,Servicios de apoyo a los negocios,53383,758561,165768.62,189.59%,70.92%,2.76,5.24,13551.56
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,531,Servicios inmobiliarios,51443,208910,75001.67,530.3%,53.69%,1.27,6.73,8434.05
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",713,Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,49912,220420,47340.57,227.03%,41.62%,2.45,5.55,5646.79
46,Comercio al por menor,462,Comercio al por menor en tiendas de autoservicio y departamentales,47044,1015559,363448.43,212.23%,81.27%,2.56,5.44,22142.81
31-33,Industrias manufactureras,314,"Fabricación de productos textiles, excepto prendas de vestir",46963,108710,10122.88,135.4%,53.3%,3.4,4.6,779.83
31-33,Industrias manufactureras,315,Fabricación de prendas de vestir,44612,296915,30803.84,107.9%,52.11%,3.85,4.15,2041.9
31-33,Industrias manufactureras,321,Industria de la madera,37311,123826,17335.1,174.53%,57.65%,2.91,5.09,1602.99
31-33,Industrias manufactureras,327,Fabricación de productos a base de minerales no metálicos,35271,241779,112639.24,272.49%,52.47%,2.15,5.85,11048.06
31-33,Industrias manufactureras,312,Industria de las bebidas y del tabaco,33008,215757,239172.19,682.04%,197.07%,1.02,6.98,6528.38
31-33,Industrias manufactureras,337,"Fabricación de muebles, colchones y persianas",31524,193949,29971.6,131.84%,50.96%,3.45,4.55,2970.65
72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,721,Servicios de alojamiento temporal,27283,438724,94553.28,198.02%,23.04%,2.68,5.32,17772.23
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,532,Servicios de alquiler de bienes muebles,27044,123019,31464.85,296.08%,50.55%,2.02,5.98,5827.88
43,Comercio al por mayor,431,"Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco",25865,700364,553019.17,544.66%,191.34%,1.24,6.76,19468.32
43,Comercio al por mayor,435,"Comercio al por mayor de maquinaria, equipo y mobiliario para actividades agropecuarias, industriales, de servicios y comerciales, y de otra maquinaria y equipo de uso general",24922,290679,248408.62,517.96%,88.4%,1.29,6.71,18949.02
62,Servicios de salud y de asistencia social,624,Otros servicios de asistencia social,24822,133166,4232.55,81.06%,34.82%,4.42,3.58,503.44
81,Otros servicios excepto actividades gubernamentales,813,Asociaciones y organizaciones,23555,132711,9124.2,146.17%,36.83%,3.25,4.75,1296.05
31-33,Industrias manufactureras,339,Otras industrias manufactureras,20630,339454,70288.8,108.45%,49.67%,3.84,4.16,4832.04
11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza (Solo Pesca y Acuicultura)",114,"Pesca, caza y captura",20152,189091,19067.69,247.79%,55.97%,2.3,5.7,3686.41
