SECTOR,NOMBRE_SECTOR,RAMA,NOMBRE_RAMA,ESTABLECIMIENTOS,PERSONAL_OCUPADO,PLUSVALIA_NETA_MDP,TASA_EXPLOTACION,TASA_GANANCIA_NETA,HRS_PARA_SALARIO,HRS_PARA_GASTOS_E_IMPUESTOS,HRS_PLUSVALIA_PURA
31-33,Industrias manufactureras,3361,Fabricación de automóviles y camiones,134,273964,1570466.82,2232.69%,40.82%,0.12,5.18,2.7
31-33,Industrias manufactureras,3363,Fabricación de partes para vehículos automotores,4182,2407518,1003085.66,207.74%,23.58%,1,4.93,2.08
46,Comercio al por menor,4611,Comercio al por menor de abarrotes y alimentos,2126896,4265512,642515.62,667.57%,31.37%,0.34,5.4,2.26
43,Comercio al por mayor,4342,Comercio al por mayor de materias primas para la industria,102334,843954,632663.22,538.08%,9.04%,0.14,7.08,0.78
43,Comercio al por mayor,4311,Comercio al por mayor de abarrotes y alimentos,44774,1053528,589481.35,361.82%,20.97%,0.42,6.06,1.52
72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,7225,Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas,1379366,4784978,545103.5,231.82%,38.6%,1.19,4.05,2.76
46,Comercio al por menor,4621,Comercio al por menor en tiendas de autoservicio,88230,1554218,454090.33,173.23%,10.65%,0.49,6.66,0.85
31-33,Industrias manufactureras,3121,Industria de las bebidas,65920,422732,428860.24,632.35%,42.81%,0.43,4.88,2.7
43,Comercio al por mayor,4312,"Comercio al por mayor de bebidas, hielo y tabaco",6956,347200,367890.87,916.31%,30.53%,0.21,5.82,1.96
22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",2211,"Generación, transmisión, distribución y comercialización de energía eléctrica",406,40144,362975.74,14235.08%,18.47%,0.02,4.95,3.03
46,Comercio al por menor,4684,"Comercio al por menor de combustibles, aceites y grasas lubricantes",62384,620958,346933.82,416.19%,11.9%,0.23,6.83,0.94
31-33,Industrias manufactureras,3261,Fabricación de productos de plástico,12148,760040,255865.75,164.69%,19.27%,1.03,5.27,1.7
21,Minería,2122,Minería de minerales metálicos,506,154710,234090.09,808.26%,30.58%,0.45,3.87,3.68
31-33,Industrias manufactureras,3119,Otras industrias alimentarias,17306,219026,230408.84,593.05%,44.66%,0.49,4.57,2.93
31-33,Industrias manufactureras,3118,Elaboración de productos de panadería y tortillas,364896,1124784,227585.03,308.83%,35.52%,0.83,4.63,2.55
46,Comercio al por menor,4671,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",331090,993692,225858.58,320.38%,21.9%,0.53,5.77,1.7
46,Comercio al por menor,4681,Comercio al por menor de automóviles y camionetas,16348,300270,212295.07,450.95%,14.42%,0.24,6.7,1.06
31-33,Industrias manufactureras,3116,"Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",10398,265470,182099.99,408.16%,33.64%,0.6,4.97,2.43
72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,7211,"Hoteles, moteles y similares",47420,849930,166773.16,178.3%,15.46%,1.39,4.13,2.48
55,Dirección y administración de grupos empresariales o corporativos,5511,Dirección y administración de grupos empresariales o corporativos,678,249190,164788.29,102.58%,20.66%,1.57,4.82,1.61
31-33,Industrias manufactureras,3112,Molienda de granos y de semillas y obtención de aceites y grasas,3024,104306,164127.41,539.27%,24.42%,0.33,5.89,1.78
43,Comercio al por mayor,4352,Comercio al por mayor de maquinaria y equipo para la industria,7442,110612,157839.16,737.28%,26.16%,0.31,5.39,2.3
51,Información en medios masivos,5173,Operadores de servicios de telecomunicaciones alámbricas e inalámbricas,620,299674,157288.68,141.77%,6.31%,0.79,6.09,1.12
46,Comercio al por menor,4622,Comercio al por menor en tiendas departamentales,5858,476900,154784.55,192.61%,19.53%,0.76,5.77,1.46
46,Comercio al por menor,4641,Comercio al por menor de artículos para el cuidado de la salud,231572,885112,149162.01,175.43%,18.67%,0.77,5.87,1.36
31-33,Industrias manufactureras,3115,Elaboración de productos lácteos,36058,232576,148936.91,434.58%,32.76%,0.54,5.14,2.33
31-33,Industrias manufactureras,3312,Fabricación de productos de hierro y acero,1408,129938,140213.96,453.38%,16.98%,0.32,6.24,1.44
46,Comercio al por menor,4632,"Comercio al por menor de ropa, bisutería y accesorios de vestir",462902,984362,137130.88,312.65%,24.87%,0.6,5.51,1.88
46,Comercio al por menor,4682,"Comercio al por menor de partes y refacciones para automóviles, camionetas y camiones",111504,453008,127765.71,293.41%,21.17%,0.55,5.82,1.63
81,Otros servicios excepto actividades gubernamentales,8111,Reparación y mantenimiento de automóviles y camiones,505722,1180866,126417.22,260.43%,36.23%,1.26,3.46,3.28
31-33,Industrias manufactureras,3111,Elaboración de alimentos balanceados para animales,1600,69820,122449.78,815.44%,34.18%,0.28,5.43,2.29
43,Comercio al por mayor,4353,Comercio al por mayor de maquinaria y equipo para los servicios y para actividades comerciales,19102,216110,120946,342.89%,19.43%,0.43,6.07,1.49
43,Comercio al por mayor,4354,"Comercio al por mayor de mobiliario y equipo de cómputo y de oficina, y de otra maquinaria y equipo de uso general",15832,205914,119440.24,366.68%,20.78%,0.46,5.83,1.7
31-33,Industrias manufactureras,3344,Fabricación de componentes electrónicos,956,495004,116979.68,94.11%,35.02%,2.7,2.76,2.54
31-33,Industrias manufactureras,3311,Industria básica del hierro y del acero,80,32624,114026.95,913.57%,22.57%,0.27,5.26,2.47
31-33,Industrias manufactureras,3254,Fabricación de productos farmacéuticos,1796,177658,105955.14,241.27%,22.55%,0.82,5.2,1.98
31-33,Industrias manufactureras,3273,"Fabricación de cemento, concreto y sus productos",14642,131580,105174.35,434.77%,22.61%,0.45,5.61,1.94
31-33,Industrias manufactureras,3314,"Industrias de metales no ferrosos, excepto aluminio",308,27704,104352.59,1500.36%,33.17%,0.16,5.49,2.35
31-33,Industrias manufactureras,3256,"Fabricación de jabones, limpiadores y preparaciones de tocador",4442,127526,104000.58,370.49%,29.58%,0.6,5.2,2.2
31-33,Industrias manufactureras,3359,Fabricación de otros equipos y accesorios eléctricos,714,178702,102960.3,248.79%,30.04%,0.88,4.94,2.18
31-33,Industrias manufactureras,3222,Fabricación de productos de cartón y papel,15932,279364,99716.03,175.59%,17.45%,0.86,5.62,1.51
48-49,"Transportes, correos y almacenamiento",4885,Servicios de intermediación para el transporte de carga,9288,401376,98945.73,152.78%,22.48%,1.42,4.41,2.17
31-33,Industrias manufactureras,3113,"Elaboración de azúcares, chocolates, dulces y similares",8134,202996,98402.28,224.0%,18.49%,0.77,5.5,1.73
48-49,"Transportes, correos y almacenamiento",4841,Autotransporte de carga general,8208,557650,97941.7,147.58%,18.25%,1.5,4.29,2.21
31-33,Industrias manufactureras,3353,Fabricación de equipo de generación y distribución de energía eléctrica,788,189150,90832.64,210.64%,36.11%,1.23,4.19,2.58
43,Comercio al por mayor,4341,Comercio al por mayor de materias primas agropecuarias y forestales,44438,167358,87247.18,544.06%,15.86%,0.23,6.53,1.24
31-33,Industrias manufactureras,3352,Fabricación de aparatos eléctricos de uso doméstico,428,146288,85839.4,282.49%,26.38%,0.7,5.31,1.99
31-33,Industrias manufactureras,3252,"Fabricación de resinas y hules sintéticos, y fibras químicas",610,37304,85064.29,853.64%,29.31%,0.25,5.6,2.15
31-33,Industrias manufactureras,3391,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",5210,425122,80833.65,87.22%,30.58%,2.91,2.56,2.54
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",5616,"Servicios de investigación, protección y seguridad",8682,478746,77574.06,116.95%,38.98%,2.34,2.93,2.73
23,Construcción,2371,"Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones",2572,213354,71325.1,189.35%,20.66%,0.83,5.6,1.57
81,Otros servicios excepto actividades gubernamentales,8121,"Salones y clínicas de belleza, baños públicos y bolerías",579504,882304,69724.56,420.51%,48.5%,0.91,3.29,3.81
61,Servicios educativos,6111,"Escuelas de educación básica, media y para necesidades especiales",42618,830492,69489.65,66.05%,24.99%,3.62,1.99,2.39
46,Comercio al por menor,4661,Comercio al por menor de muebles para el hogar y otros enseres domésticos,84778,300314,69153.4,271.48%,19.9%,0.54,5.98,1.47
23,Construcción,2362,Edificación no residencial,7036,346354,68654.93,169.09%,18.26%,0.87,5.65,1.48
23,Construcción,2361,Edificación residencial,7304,347894,67773.19,188.84%,22.77%,0.92,5.34,1.74
48-49,"Transportes, correos y almacenamiento",4811,Transporte aéreo regular,72,67230,67154.8,190.95%,26.87%,0.93,5.3,1.77
61,Servicios educativos,6113,Escuelas de educación superior,9528,508574,66182.7,68.68%,15.33%,3.06,2.83,2.1
31-33,Industrias manufactureras,3334,"Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",1264,144818,65802.17,198.93%,27.42%,1.06,4.82,2.11
46,Comercio al por menor,4662,"Comercio al por menor de mobiliario, equipo y accesorios de cómputo, teléfonos y otros aparatos de comunicación",91938,263054,63060.83,336.28%,17.64%,0.37,6.37,1.25
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,5312,Inmobiliarias y corredores de bienes raíces,15344,108346,62838.5,661.25%,35.09%,0.49,4.28,3.23
31-33,Industrias manufactureras,3262,Fabricación de productos de hule,1982,157528,59494.43,165.57%,19.3%,1.13,5.01,1.87
43,Comercio al por mayor,4331,Comercio al por mayor de productos farmacéuticos,3740,109082,58511.57,329.59%,14.78%,0.33,6.57,1.1
62,Servicios de salud y de asistencia social,6211,Consultorios médicos,148820,344620,57443.18,311.17%,39.63%,1.26,2.83,3.91
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",5611,Servicios de administración de negocios,3576,151846,57440.43,295.04%,47.28%,1.12,3.56,3.32
31-33,Industrias manufactureras,3114,"Conservación de frutas, verduras, guisos y otros alimentos preparados",5008,172860,56104.92,175.65%,19.89%,0.94,5.41,1.65
31-33,Industrias manufactureras,3255,"Fabricación de pinturas, recubrimientos y adhesivos",1270,51910,53259.99,406.91%,27.85%,0.5,5.44,2.05
31-33,Industrias manufactureras,3323,Fabricación de estructuras metálicas y productos de herrería,126010,396498,53242.52,152.49%,22.8%,1.25,4.83,1.91
